                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241201"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  6.3393814526060909E+004                  8.0000000000000004E-001                 -9.8999999999999986E+001                  4.8020468848809372E+000                                     3832                  7.2400823955548671E-002                  9.0387075252765348E-002                  3.9064931751463014E-008                  9.9999999994762456E-001                  9.3468418988533197E-001                  9.0387075252765348E-002                  3.9064931751463014E-008                  9.9999999994762456E-001                  9.3468418988533197E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.7314952539134856E-001                 -5.0103834380702210E+001                 -1.5653559774527022E+001                 -5.7314952539134811E-001                  3.6890406148337642E+000                  2.6407350065429441E-001                 -5.7827517735053624E-001                 -1.4456565747829955E-001                  4.6302889292516758E+000                  4.2686340983394395E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0763628518947854E+000                  1.8994091038426542E+000                  1.7104969706725452E+001                  6.2133978801524570E-001                  8.4979655249285369E-001                  6.9953038359795949E-001                  2.8027010558673632E-001                  3.3788017870709400E-003                  9.3805254296778582E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  5.5992491088505081E-001                  2.2400337865984057E-001                 -5.8361564137157818E-001                 -2.1963708423274930E+000                 -5.0103834380702210E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  6.3393814526060909E+004                  4.9999877926377362E-001                  3.3401073000414234E+000                  1.3518845202216659E+002                  2.0278267803324985E+002                  1.3843156409383108E+000                  1.1503703887950523E+000                 -1.7427393872612224E-001                 -3.7684419027765698E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4956478262645565E+051                 -3.0492259116457374E+033                  0.0000000000000000E+000                 -3.0492259116457374E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.6456198791491028E+006                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.5146780993095605E+000                                      798                  6.1949885760097190E-002                  7.4628839875818198E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3550095680207579E-001                  7.4628839875818198E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3550095680207579E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8553502766162990E-001                 -5.0130345278361091E+001                 -1.5954589770191003E+001                 -5.8553502766162979E-001                  3.6870513716584443E+000                  2.5678865276259105E-001                 -5.9042417122418356E-001                 -1.4666166806448380E-001                  4.6344809504240443E+000                  4.3100365236095502E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0759549489927194E+000                  1.8982329304199559E+000                  1.7103362920503045E+001                  6.2135725242853557E-001                  8.4977735087816353E-001                  6.9949424894946688E-001                  2.8031139898632335E-001                  3.3689196111298873E-003                  9.3805251279913612E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  5.5991927902098992E-001                  2.2400645080872300E-001                 -5.9603233864612615E-001                 -2.2074793589868631E+000                 -5.0130345278361091E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  1.6456198791491028E+006                  4.9996830989194996E-001                  3.3399716037035656E+000                  1.3519119821191228E+002                  2.0278679731786841E+002                  1.3842594012591507E+000                  1.1503236534554611E+000                 -1.5386752038975676E-001                 -3.7981924999568717E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4954955643461029E+051                 -3.0495872471567992E+033                  0.0000000000000000E+000                 -3.0495872471567992E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  5.0380252755480465E+006                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.3840228131825523E+000                                      794                  5.0834450344444101E-002                  9.9999999994450006E-001                  9.3458646927288203E-001                  6.3321906858131716E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3458646927288203E-001                  6.3321906858131716E-002                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9815627630154100E-001                 -5.0188794847076792E+001                 -9.8999999999999986E+001                 -5.9815627630154100E-001                  3.6850642499046580E+000                  2.4978935166697769E-001                 -6.0242607921585201E-001                 -1.4868837855274469E-001                  4.6385343714005662E+000                  4.3504519008217241E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0748644382362427E+000                  1.8988349666862918E+000                  1.7102862257045931E+001                  6.2139709822405997E-001                  8.4973476138978743E-001                  6.9941178485240840E-001                  2.8039825780143723E-001                  3.3464195674852973E-003                  9.3805244379988363E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  5.5990711453648501E-001                  2.2401261660605806E-001                 -6.0837272210139348E-001                 -2.2317389612968839E+000                 -5.0188794847076792E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  5.0380252755480465E+006                  4.9990297144137708E-001                  3.3396806074961289E+000                  1.3519708788725313E+002                  2.0279563183087970E+002                  1.3841387971691552E+000                  1.1502234311002442E+000                 -1.3683171054881685E-001                 -3.8265290178856703E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4951690333824357E+051                 -3.0505406425914178E+033                  0.0000000000000000E+000                 -3.0505406425914178E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.1186222913549837E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  6.0846606764208158E+000                                      792                  4.0100315695761744E-002                  9.9999999994450006E-001                  9.3395519862807252E-001                  4.9805933345612285E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3395519862807252E-001                  4.9805933345612285E-002                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9835929641272356E-001                 -5.0256312014522308E+001                 -9.8999999999999986E+001                 -5.9835929641272367E-001                  3.6845576505912492E+000                  2.4899226162174032E-001                 -6.0381415004161421E-001                 -1.4836921533880820E-001                  4.6378960449726927E+000                  4.3440622994985330E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0735553282724100E+000                  1.9009638407275908E+000                  1.7103662780748902E+001                  6.2147519021430864E-001                  8.4965273735117008E-001                  6.9925019428237023E-001                  2.8055963621378860E-001                  3.3009104308850813E-003                  9.3805230234107542E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  5.5988520686424292E-001                  2.2402357038702575E-001                 -6.0789510987217854E-001                 -2.2615450436252078E+000                 -5.0256312014522308E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  1.1186222913549837E+007                  4.9978452163751552E-001                  3.3391530382688122E+000                  1.3520776769217937E+002                  2.0281165153826905E+002                  1.3839201448123752E+000                  1.1500417303455599E+000                 -1.3521852026646652E-001                 -3.8210143695997517E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4945770042073959E+051                 -3.0519606602839137E+033                  0.0000000000000000E+000                 -3.0519606602839137E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  4.9041337280249208E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  6.8764731368970633E+000                                      789                  1.4869769155390702E-002                  9.9999999994450006E-001                  9.3212557091154269E-001                  1.8115287486945963E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3212557091154269E-001                  1.8115287486945963E-002                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9822939132055131E-001                 -5.0584872564686926E+001                 -1.5778498511135322E+001                 -5.9822939132055097E-001                  3.6833346682900450E+000                  2.4943731510585074E-001                 -6.0303857679037209E-001                 -1.4553546411077886E-001                  4.6322285425166339E+000                  4.2877409851613214E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0676274807746902E+000                  1.8963856516133151E+000                  1.7092771953329887E+001                  6.2201288087566620E-001                  8.4909487773399328E-001                  6.9813889163556586E-001                  2.8162950587865210E-001                  2.9728057361681154E-003                  9.3805120538390796E-003                  3.4468833607860729E-003                  9.3805276451495393E-003                  5.5976151510091499E-001                  2.2409821875846594E-001                 -6.0494985081423180E-001                 -2.4119706314319975E+000                 -5.0584872564686926E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  4.9041337280249216E+007                  4.9905431216126417E-001                  3.3358998025072557E+000                  1.3527368027688948E+002                  2.0291052041533422E+002                  1.3825718332930639E+000                  1.1489212794882422E+000                 -1.3348838133953858E-001                 -3.7744996383267254E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4909252447472787E+051                 -3.0606461407103286E+033                  0.0000000000000000E+000                 -3.0606461407103286E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  2.0227585264186069E+008                  8.0000000000000004E-001                 -9.8999999999999986E+001                  7.2385108530690578E+000                                      774                  4.8153025140391616E-004                  9.9999999994254696E-001                  9.2995487067568838E-001                  4.7021438523670109E-004                  7.8129685972199106E-008                  9.9999999994254696E-001                  9.2995487067568838E-001                  4.7021438523670109E-004                  7.8129685972199106E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9908648635917350E-001                 -5.0845352059222598E+001                 -1.5778498511135322E+001                 -5.9908648635917328E-001                  3.6826039072084873E+000                  2.5139968189144823E-001                 -5.9963527618417434E-001                 -1.4237229164456486E-001                  4.6259021975842058E+000                  4.2257344069329149E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0624444403659670E+000                  1.8972713792100964E+000                  1.7086825360251947E+001                  6.2442588260324072E-001                  8.4660427293939766E-001                  6.9316312772493127E-001                  2.8641073505095355E-001                  1.7075294371169394E-003                  9.3804511804679407E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5931981013355436E-001                  2.2442835785329068E-001                 -6.0327643262333874E-001                 -2.6167556332869957E+000                 -5.0845352059222598E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  2.0227585264186075E+008                  4.9608164900782953E-001                  3.3226395526001280E+000                  1.3554334189200281E+002                  2.0331501283800426E+002                  1.3770760902823647E+000                  1.1443543008043560E+000                 -1.2227235189603854E-001                 -3.7039640058346002E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4760221519653288E+051                 -3.1007959214781944E+033                  0.0000000000000000E+000                 -3.1007959214781944E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  3.6578504881009775E+008                  8.0000000000000004E-001                 -9.8999999999999986E+001                  7.1902631358262967E+000                                      776                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2943043746537968E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2943043746537968E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9655892232076679E-001                 -5.0863530854992710E+001                 -9.8999999999999986E+001                 -5.9655892232076713E-001                  3.6827018614552611E+000                  2.5309028382020304E-001                 -5.9672452716204261E-001                 -1.4111282562704749E-001                  4.6233832655491716E+000                  4.2012958544500914E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0614796696149327E+000                  1.9006328863958954E+000                  1.7087363311732297E+001                  6.2713642516847012E-001                  8.4381961740558475E-001                  6.8759489206406321E-001                  2.9183499926820705E-001                  8.2428130618762772E-004                  9.3803683169887513E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5887329783479089E-001                  2.2479712651776779E-001                 -5.9980983467137505E-001                 -2.7239624154165485E+000                 -5.0863530854992710E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  3.6578504881009793E+008                  4.9287667398509249E-001                  3.3083133138004084E+000                  1.3583650164288525E+002                  2.0375475246432785E+002                  1.3711385455675515E+000                  1.1394201835986602E+000                 -1.1043523466878304E-001                 -3.6583354447677607E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4598875433354376E+051                 -3.1484940879249741E+033                  0.0000000000000000E+000                 -3.1484940879249741E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  5.1037566230745834E+008                  8.0000000000000004E-001                 -9.8999999999999986E+001                  7.1348407258587363E+000                                      776                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2926060290915558E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2926060290915558E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9430709599100107E-001                 -5.0840289345432261E+001                 -9.8999999999999986E+001                 -5.9430709599100107E-001                  3.6829093562528032E+000                  2.5446624358866204E-001                 -5.9436982116813164E-001                 -1.4035046222517550E-001                  4.6218585387454274E+000                  4.1865717513802236E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0614431551900854E+000                  1.9037505798860774E+000                  1.7088832189746554E+001                  6.2948951588807067E-001                  8.4141317876334076E-001                  6.8278231149621227E-001                  2.9658400438835486E-001                  4.3743400426092354E-004                  9.3802966953354903E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5848590933500408E-001                  2.2513047574825837E-001                 -5.9705766254447512E-001                 -2.7940438069922635E+000                 -5.0840289345432261E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  5.1037566230745852E+008                  4.9001308185829040E-001                  3.2954867687166565E+000                  1.3610059327603543E+002                  2.0415088991405315E+002                  1.3658225525818122E+000                  1.1350025777167445E+000                 -9.9718811818791636E-002                 -3.6224673611543678E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4454122656234555E+051                 -3.1920819010081562E+033                  0.0000000000000000E+000                 -3.1920819010081562E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  6.3728500290401912E+008                  8.0000000000000004E-001                 -9.8999999999999986E+001                  7.0785513804657105E+000                                      774                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2919292225736794E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994254696E-001                  9.2919292225736794E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9238985569712710E-001                 -5.0807930574434437E+001                 -9.8999999999999986E+001                 -5.9238985569712710E-001                  3.6831223313580623E+000                  2.5561705189089001E-001                 -5.9241017831055887E-001                 -1.3979659100690783E-001                  4.6207507963088919E+000                  4.1759067904848409E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0616531082407361E+000                  1.9065031868675455E+000                  1.7090390528715261E+001                  6.3154273220803614E-001                  8.3932360808527462E-001                  6.7860358741587368E-001                  3.0073300675631148E-001                  2.5154545320145959E-004                  9.3802336120280307E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5814876979262207E-001                  2.2542702195315903E-001                 -5.9482380019400993E-001                 -2.8450799004289666E+000                 -5.0807930574434437E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  6.3728500290401912E+008                  4.8747628912072555E-001                  3.2841031314187128E+000                  1.3633627094111679E+002                  2.0450440641167521E+002                  1.3611045762574836E+000                  1.1310819254478264E+000                 -9.0041085176063365E-002                 -3.5921941215236020E-001                  1.2000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.4325417553313844E+051                 -3.2314320556762139E+033                  0.0000000000000000E+000                 -3.2314320556762139E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
