                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241201"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.0000000000000000E+005                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.0000000000000000E+000                                     3832                  7.2400823955548671E-002                  9.0387075252765348E-002                  3.9064931751463014E-008                  9.9999999994762456E-001                  9.3468418988533197E-001                  9.0387075252765348E-002                  3.9064931751463014E-008                  9.9999999994762456E-001                  9.3468418988533197E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.7342486549488103E-001                 -5.0104306818703527E+001                 -1.6255619765854984E+001                 -5.7342486549488092E-001                  3.6889721136250220E+000                  2.6381689387190793E-001                 -5.7869739726414959E-001                 -1.4463976501762160E-001                  4.6304371443303198E+000                  4.2700911371377064E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0763558779212810E+000                  1.8993557309187212E+000                  1.7104908519608436E+001                  6.2134017703609856E-001                  8.4979612623858680E-001                  6.9952957858514175E-001                  2.8027101816649536E-001                  3.3785922610723653E-003                  9.3805254233170123E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  5.5992478133439894E-001                  2.2400345226472113E-001                 -5.8389275168181187E-001                 -2.1965736149560069E+000                 -5.0104306818703527E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.0000000000000000E+005                  4.9999833794239817E-001                  3.2248362440421809E+000                  1.4502561527835195E+002                  1.8128201909793995E+002                  1.2847098159975712E+000                  1.1602067981139650E+000                 -3.0861899078137395E-001                 -3.8223282392411478E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4696427017974939E+051                 -2.2716012723444376E+033                  0.0000000000000000E+000                 -2.2716012723444376E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.5958682112000003E+006                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.7126312144286233E+000                                      796                  5.9295612705495791E-002                  7.1765370070954682E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3527594955020488E-001                  7.1765370070954682E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3527594955020488E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9025434370555430E-001                 -5.0147767386661542E+001                 -1.6255619765854984E+001                 -5.9025434370555419E-001                  3.6863225329278748E+000                  2.5410146920572246E-001                 -5.9499282386701191E-001                 -1.4748831692475919E-001                  4.6361342481445948E+000                  4.3264754941506624E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0756394840388097E+000                  1.8981203799976067E+000                  1.7102928513381112E+001                  6.2136808838435098E-001                  8.4976571150017355E-001                  6.9947182252086160E-001                  2.8033538069461728E-001                  3.3629092587889710E-003                  9.3805249443539730E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  5.5991587900463580E-001                  2.2400821789358061E-001                 -6.0069175776010653E-001                 -2.2146539979350686E+000                 -5.0147767386661542E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  2.5958682111999998E+006                  4.9995685257157724E-001                  3.2246578629458686E+000                  1.4502962647451452E+002                  1.8128703309314318E+002                  1.2846387525611425E+000                  1.1601426215341528E+000                 -3.1358468789156690E-001                 -3.8623756973489665E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4694637659027416E+051                 -2.2719677910928292E+033                  0.0000000000000000E+000                 -2.2719677910928292E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.8668799962237377E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  6.5044436749048709E+000                                      793                  3.5198539675808195E-002                  9.9999999994450006E-001                  9.3366098797265262E-001                  4.2086333560803990E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3366098797265262E-001                  4.2086333560803990E-002                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9539697333942154E-001                 -5.0327397588312564E+001                 -1.6255619765854984E+001                 -5.9539697333942143E-001                  3.6844345779451482E+000                  2.4965214548620446E-001                 -6.0266469730838756E-001                 -1.4754834367999312E-001                  4.6362543016550628E+000                  4.3276716419034725E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0722798173668542E+000                  1.8999293145853833E+000                  1.7101282665885229E+001                  6.2157210465515800E-001                  8.4955213175019806E-001                  6.9904967309608246E-001                  2.8075311859659552E-001                  3.2462560389740999E-003                  9.3805213044727762E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  5.5985947024473093E-001                  2.2403767491359941E-001                 -6.0418637669741437E-001                 -2.2936091792422704E+000                 -5.0327397588312564E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  1.8668799962237373E+007                  4.9968957439967981E-001                  3.2235084871329440E+000                  1.4505548008852821E+002                  1.8131935011066028E+002                  1.2841808643840722E+000                  1.1597291079381657E+000                 -3.0934836487187273E-001                 -3.8610358290133645E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4683106966152061E+051                 -2.2743310143376412E+033                  0.0000000000000000E+000                 -2.2743310143376412E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  5.9393560657812275E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.9160448936695138E+000                                      787                  9.6155291081260665E-003                  9.9999999994450006E-001                  9.3153150826439279E-001                  1.0665567233622497E-002                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3153150826439279E-001                  1.0665567233622497E-002                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9918853262616423E-001                 -5.0634077681252897E+001                 -1.5954589770191003E+001                 -5.9918853262616401E-001                  3.6831759087236726E+000                  2.4961191060891244E-001                 -6.0273469547874436E-001                 -1.4506600432222047E-001                  4.6312896229395175E+000                  4.2784811501102871E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0667090116177409E+000                  1.8960395224459725E+000                  1.7091407401348004E+001                  6.2215938036923779E-001                  8.4894291277481460E-001                  6.9783614815057138E-001                  2.8192201196691968E-001                  2.8900233363952543E-003                  9.3805090953368291E-003                  3.4468833607860720E-003                  9.3805276451495393E-003                  5.5972988217142794E-001                  2.2411955646493772E-001                 -6.0554353221485435E-001                 -2.4370309422694887E+000                 -5.0634077681252897E+001                  0.0000000000000000E+000                                        1                  3.0000000000000000E+001                  5.9393560657812268E+007                  4.9140130021001932E-001                  3.1877639866363956E+000                  1.4586646890567300E+002                  1.8233308613209130E+002                  1.2699409752297981E+000                  1.1468692262781590E+000                 -2.9832097145334457E-001                 -3.7566152949766368E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4323481640323039E+051                 -4.0235604056997425E+035                 -4.0001737265608816E+035                 -2.3386679138861187E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  6.4541101965086803E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.6640422999300846E+000                                      782                  6.1998005102756578E-003                  9.9999999994450006E-001                  9.3137940568095323E-001                  7.4190698818788481E-003                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3137940568095323E-001                  7.4190698818788481E-003                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9934211276389504E-001                 -5.0659688820004632E+001                 -9.8999999999999986E+001                 -5.9934211276389526E-001                  3.6831107848612636E+000                  2.4972795451902607E-001                 -6.0253284005221963E-001                 -1.4483482888413968E-001                  4.6308272720633559E+000                  4.2739286932225550E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0662450394046230E+000                  1.8961370805570734E+000                  1.7090989310147368E+001                  6.2223967390243673E-001                  8.4885928751358819E-001                  6.9767046849380543E-001                  2.8208355266417162E-001                  2.8369125070625357E-003                  9.3805071088281736E-003                  3.4468833607860729E-003                  9.3805276451495393E-003                  5.5971419789699239E-001                  2.2413019454427319E-001                 -6.0550943270042734E-001                 -2.4501099563245003E+000                 -5.0659688820004632E+001                  0.0000000000000000E+000                                        1                  4.0000000000000000E+001                  6.4541101965086788E+007                  4.7568945881415664E-001                  3.1194472363910757E+000                  1.4745507612101537E+002                  1.8431884515126922E+002                  1.2427249577345334E+000                  1.1222907509505800E+000                 -2.8269101496472293E-001                 -3.6164864099561816E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.3630492631481494E+051                 -4.4640665200649311E+035                 -4.4387305870500092E+035                 -2.5335933014922137E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  6.8900524228296950E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.6191374544537958E+000                                      780                  4.5439133960751164E-003                  9.9999999994450006E-001                  9.3127247524096446E-001                  4.5651477472106738E-003                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3127247524096446E-001                  4.5651477472106738E-003                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9945044974491679E-001                 -5.0677241042817435E+001                 -1.5778498511135322E+001                 -5.9945044974491657E-001                  3.6830593300371364E+000                  2.4981019795638354E-001                 -6.0238983647516420E-001                 -1.4466041744735803E-001                  4.6304784491897921E+000                  4.2704972760810466E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0659104496305147E+000                  1.8960495112271867E+000                  1.7090519415050959E+001                  6.2230970457280110E-001                  8.4878654832196565E-001                  6.9752603111745948E-001                  2.8222314515686076E-001                  2.7891036985646105E-003                  9.3805052656511928E-003                  3.4468833607860720E-003                  9.3805276451495393E-003                  5.5970101426174734E-001                  2.2413925497071382E-001                 -6.0548349381502942E-001                 -2.4597112933028851E+000                 -5.0677241042817435E+001                  0.0000000000000000E+000                                        1                  5.0000000000000000E+001                  6.8900524228296921E+007                  4.6134959916779272E-001                  3.0564365946741385E+000                  1.4896726844454463E+002                  1.8620908555568082E+002                  1.2176227870194749E+000                  1.0996212665671250E+000                 -2.6770807175630701E-001                 -3.4822687027884797E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.2984568573771230E+051                 -4.8967615224683101E+035                 -4.8695497457806893E+035                 -2.7211776687620783E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  7.2834354429500416E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.5745805633493113E+000                                      780                  3.4949515936550288E-003                  9.9999999994450006E-001                  9.3118376603937769E-001                  3.3114447204168340E-003                  7.8129685975433766E-008                  9.9999999994450006E-001                  9.3118376603937769E-001                  3.3114447204168340E-003                  7.8129685975433766E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9960076973582166E-001                 -5.0690857030212669E+001                 -1.5954589770191003E+001                 -5.9960076973582155E-001                  3.6830117159541369E+000                  2.4985958613272888E-001                 -6.0230398372516458E-001                 -1.4452226290635917E-001                  4.6302021401077944E+000                  4.2677811423395877E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0656401770297146E+000                  1.8959377621086688E+000                  1.7090092904155775E+001                  6.2237396294783398E-001                  8.4872000967530592E-001                  6.9739352995651749E-001                  2.8235000014818240E-001                  2.7448549887382810E-003                  9.3805035199142055E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5968918769554865E-001                  2.2414746459407295E-001                 -6.0552396668736230E-001                 -2.4677871399396611E+000                 -5.0690857030212669E+001                  0.0000000000000000E+000                                        1                  6.0000000000000000E+001                  7.2834354429500386E+007                  4.4744331438177115E-001                  2.9947044962163303E+000                  1.5049482366900017E+002                  1.8811852958625022E+002                  1.1930299621908049E+000                  1.0774117666506842E+000                 -2.5244636312863694E-001                 -3.3457973514727624E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.2345261490382420E+051                 -5.3706293094081170E+035                 -5.3414031380649943E+035                 -2.9226171343122643E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  7.6384805908099875E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.5300681303607258E+000                                      778                  2.7734025042077952E-003                  9.9999999994450006E-001                  9.3110944539944507E-001                  3.3114447204168340E-003                  7.8129685971331744E-008                  9.9999999994450006E-001                  9.3110944539944507E-001                  3.3114447204168340E-003                  7.8129685971331744E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9974283405455120E-001                 -5.0702899255339247E+001                 -1.6255619765854984E+001                 -5.9974283405455109E-001                  3.6829709435609930E+000                  2.4989767153785933E-001                 -6.0223779046406689E-001                 -1.4440762148952158E-001                  4.6299728572741197E+000                  4.2655285908194441E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0654651385490110E+000                  1.8959607812459895E+000                  1.7089901172453384E+001                  6.2243261536980066E-001                  8.4865940588404620E-001                  6.9727260496194976E-001                  2.8246502875647017E-001                  2.7043888666587975E-003                  9.3805018915421277E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5967856522863846E-001                  2.2415489749975437E-001                 -6.0557178945972290E-001                 -2.4748476305683655E+000                 -5.0702899255339247E+001                  0.0000000000000000E+000                                        1                  7.0000000000000000E+001                  7.6384805908099800E+007                  4.3395646683987421E-001                  2.9342204225690840E+000                  1.5203801190863680E+002                  1.9004751488579601E+002                  1.1689343253132130E+000                  1.0556512715083941E+000                 -2.3689193018925039E-001                 -3.2068390665027247E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.1712456094407876E+051                 -5.8897805959031019E+035                 -5.8583909570371490E+035                 -3.1389638865952937E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  7.9589529644445568E+007                  8.0000000000000004E-001                 -9.8999999999999986E+001                  5.4855900417469527E+000                                      778                  2.5524437992397908E-003                  9.9999999994450006E-001                  9.3104497954765375E-001                  1.7137577763479128E-003                  7.8129685971331744E-008                  9.9999999994450006E-001                  9.3104497954765375E-001                  1.7137577763479128E-003                  7.8129685971331744E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.9985962321481623E-001                 -5.0712118134612744E+001                 -1.5556649761518965E+001                 -5.9985962321481578E-001                  3.6829381318561509E+000                  2.4993593999634317E-001                 -6.0217128921245267E-001                 -1.4430874745403169E-001                  4.6297751092031403E+000                  4.2635868022896662E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0652828766531703E+000                  1.8959012471367991E+000                  1.7089622755077823E+001                  6.2248558502285634E-001                  8.4860472089381800E-001                  6.9716339935402494E-001                  2.8256871917354182E-001                  2.6683379129805052E-003                  9.3805004209021482E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  5.5966901604574826E-001                  2.2416162484945146E-001                 -6.0561010392038150E-001                 -2.4808118516804853E+000                 -5.0712118134612744E+001                  0.0000000000000000E+000                                        1                  8.0000000000000000E+001                  7.9589529644445479E+007                  4.2087633797813301E-001                  2.8749588470002143E+000                  1.5359700008700972E+002                  1.9199625010876215E+002                  1.1453257070506688E+000                  1.0343305973287449E+000                 -2.2103374549991422E-001                 -3.0652328945907409E-001                  1.0000000000000000E+000                  8.0000000000000004E-001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.1086083252132035E+051                 -6.4586351226786924E+035                 -6.4249219036514064E+035                 -3.3713219027285821E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
